Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
1-Dec-20,The Byke Hospitality Ltd.,14.4,14.15,0.25,1.77,110000,48922,1.2646
1-Dec-20,The Grob Tea Company Ltd.,614.95,596,18.95,3.18,842,336,1.506
1-Dec-20,Thejo Engineering Ltd.,1225,1205,20,1.66,200,100,1
1-Dec-20,Thomas Scott India,5.55,5.3,0.25,4.72,200,12,15.6667
1-Dec-20,TIL,161.2,143.6,17.6,12.26,61147,12471,3.9031
1-Dec-20,Tilak Nagar Industries Ltd.,17.8,17.4,0.4,2.3,86791,60792,0.4277
1-Dec-20,Time Technoplast Limited,46.35,45.3,1.05,2.32,683000,393000,0.7359
1-Dec-20,Tinplate Company of India Ltd.,149.7,145.85,3.85,2.64,1002000,620000,0.615
1-Dec-20,Tokyo Plast International,70.85,68.25,2.6,3.81,37890,1919,18.7447
1-Dec-20,Total Transport Systems Ltd.,66.15,63,3.15,5,115000,22128,4.203
1-Dec-20,Tourism Finance Corporation of India Ltd.,42.65,42.1,0.55,1.31,1218000,280000,3.3403
1-Dec-20,TPL Plastech Ltd.,155.15,142.85,12.3,8.61,194000,10982,16.7172
1-Dec-20,Transformers and Rectifiers India,13.2,11,2.2,20,1512000,215000,6.0287
1-Dec-20,TRF,87.9,84.15,3.75,4.46,43779,23829,0.8372
1-Dec-20,Tribhovandas Bhimji Zaveri,44.85,42.2,2.65,6.28,1393000,123000,10.25
1-Dec-20,Triveni Turbine Ltd.,76.85,74.55,2.3,3.09,124000,49862,1.4883
1-Dec-20,TT Limited,44.15,42.55,1.6,3.76,87588,4320,19.275
1-Dec-20,TTK Healthcare Ltd.,487.8,477,10.8,2.26,7210,2200,2.2773
1-Dec-20,TV Today Network Ltd.,207.15,203.1,4.05,1.99,201000,68764,1.9361
1-Dec-20,TV18 Broadcast Ltd.,31.45,29.7,1.75,5.89,18375000,3991000,3.6037
1-Dec-20,TVS Electronics,103.15,101.8,1.35,1.33,191000,94703,1.0252
